lon,lat,col,hex
-180,90,w,ffffff
-179,90,w,ffffff
-178,90,w,ffffff
-177,90,w,ffffff
-176,90,w,ffffff
-175,90,w,ffffff
-174,90,w,ffffff
-173,90,w,ffffff
-172,90,w,ffffff
-171,90,w,ffffff
-170,90,w,ffffff
-169,90,w,ffffff
-168,90,w,ffffff
-167,90,w,ffffff
-166,90,w,ffffff
-165,90,w,ffffff
-164,90,w,ffffff
-163,90,w,ffffff
-162,90,w,ffffff
-161,90,w,ffffff
-160,90,w,ffffff
-159,90,w,ffffff
-158,90,w,ffffff
-157,90,w,ffffff
-156,90,w,ffffff
-155,90,w,ffffff
-154,90,w,ffffff
-153,90,w,ffffff
-152,90,w,ffffff
-151,90,w,ffffff
-150,90,w,ffffff
-149,90,w,ffffff
-148,90,w,ffffff
-147,90,w,ffffff
-146,90,w,ffffff
-145,90,w,ffffff
-144,90,w,ffffff
-143,90,w,ffffff
-142,90,w,ffffff
-141,90,w,ffffff
-140,90,w,ffffff
-139,90,w,ffffff
-138,90,w,ffffff
-137,90,w,ffffff
-136,90,w,ffffff
-135,90,w,ffffff
-134,90,w,ffffff
-133,90,w,ffffff
-132,90,w,ffffff
-131,90,w,ffffff
-130,90,w,ffffff
-129,90,w,ffffff
-128,90,w,ffffff
-127,90,w,ffffff
-126,90,w,ffffff
-125,90,w,ffffff
-124,90,w,ffffff
-123,90,w,ffffff
-122,90,w,ffffff
-121,90,w,ffffff
-120,90,w,ffffff
-119,90,w,ffffff
-118,90,w,ffffff
-117,90,w,ffffff
-116,90,w,ffffff
-115,90,w,ffffff
-114,90,w,ffffff
-113,90,w,ffffff
-112,90,w,ffffff
-111,90,w,ffffff
-110,90,w,ffffff
-109,90,w,ffffff
-108,90,w,ffffff
-107,90,w,ffffff
-106,90,w,ffffff
-105,90,w,ffffff
-104,90,w,ffffff
-103,90,w,ffffff
-102,90,w,ffffff
-101,90,w,ffffff
-100,90,w,ffffff
-99,90,w,ffffff
-98,90,w,ffffff
-97,90,w,ffffff
-96,90,w,ffffff
-95,90,w,ffffff
-94,90,w,ffffff
-93,90,w,ffffff
-92,90,w,ffffff
-91,90,w,ffffff
-90,90,w,ffffff
-89,90,w,ffffff
-88,90,w,ffffff
-87,90,w,ffffff
-86,90,w,ffffff
-85,90,w,ffffff
-84,90,w,ffffff
-83,90,w,ffffff
-82,90,w,ffffff
-81,90,w,ffffff
-80,90,w,ffffff
-79,90,w,ffffff
-78,90,w,ffffff
-77,90,w,ffffff
-76,90,w,ffffff
-75,90,w,ffffff
-74,90,w,ffffff
-73,90,w,ffffff
-72,90,w,ffffff
-71,90,w,ffffff
-70,90,w,ffffff
-69,90,w,ffffff
-68,90,w,ffffff
-67,90,w,ffffff
-66,90,w,ffffff
-65,90,w,ffffff
-64,90,w,ffffff
-63,90,w,ffffff
-62,90,w,ffffff
-61,90,w,ffffff
-60,90,w,ffffff
-59,90,w,ffffff
-58,90,w,ffffff
-57,90,w,ffffff
-56,90,w,ffffff
-55,90,w,ffffff
-54,90,w,ffffff
-53,90,w,ffffff
-52,90,w,ffffff
-51,90,w,ffffff
-50,90,w,ffffff
-49,90,w,ffffff
-48,90,w,ffffff
-47,90,w,ffffff
-46,90,w,ffffff
-45,90,w,ffffff
-44,90,w,ffffff
-43,90,w,ffffff
-42,90,w,ffffff
-41,90,w,ffffff
-40,90,w,ffffff
-39,90,w,ffffff
-38,90,w,ffffff
-37,90,w,ffffff
-36,90,w,ffffff
-35,90,w,ffffff
-34,90,w,ffffff
-33,90,w,ffffff
-32,90,w,ffffff
-31,90,w,ffffff
-30,90,w,ffffff
-29,90,w,ffffff
-28,90,w,ffffff
-27,90,w,ffffff
-26,90,w,ffffff
-25,90,w,ffffff
-24,90,w,ffffff
-23,90,w,ffffff
-22,90,w,ffffff
-21,90,w,ffffff
-20,90,w,ffffff
-19,90,w,ffffff
-18,90,w,ffffff
-17,90,w,ffffff
-16,90,w,ffffff
-15,90,w,ffffff
-14,90,w,ffffff
-13,90,w,ffffff
-12,90,w,ffffff
-11,90,w,ffffff
-10,90,w,ffffff
-9,90,w,ffffff
-8,90,w,ffffff
-7,90,w,ffffff
-6,90,w,ffffff
-5,90,w,ffffff
-4,90,w,ffffff
-3,90,w,ffffff
-2,90,w,ffffff
-1,90,w,ffffff
0,90,w,ffffff
1,90,w,ffffff
2,90,w,ffffff
3,90,w,ffffff
4,90,w,ffffff
5,90,w,ffffff
6,90,w,ffffff
7,90,w,ffffff
8,90,w,ffffff
9,90,w,ffffff
10,90,w,ffffff
11,90,w,ffffff
12,90,w,ffffff
13,90,w,ffffff
14,90,w,ffffff
15,90,w,ffffff
16,90,w,ffffff
17,90,w,ffffff
18,90,w,ffffff
19,90,w,ffffff
20,90,w,ffffff
21,90,w,ffffff
22,90,w,ffffff
23,90,w,ffffff
24,90,w,ffffff
25,90,w,ffffff
26,90,w,ffffff
27,90,w,ffffff
28,90,w,ffffff
29,90,w,ffffff
30,90,w,ffffff
31,90,w,ffffff
32,90,w,ffffff
33,90,w,ffffff
34,90,w,ffffff
35,90,w,ffffff
36,90,w,ffffff
37,90,w,ffffff
38,90,w,ffffff
39,90,w,ffffff
40,90,w,ffffff
41,90,w,ffffff
42,90,w,ffffff
43,90,w,ffffff
44,90,w,ffffff
45,90,w,ffffff
46,90,w,ffffff
47,90,w,ffffff
48,90,w,ffffff
49,90,w,ffffff
50,90,w,ffffff
51,90,w,ffffff
52,90,w,ffffff
53,90,w,ffffff
54,90,w,ffffff
55,90,w,ffffff
56,90,w,ffffff
57,90,w,ffffff
58,90,w,ffffff
59,90,w,ffffff
60,90,w,ffffff
61,90,w,ffffff
62,90,w,ffffff
63,90,w,ffffff
64,90,w,ffffff
65,90,w,ffffff
66,90,w,ffffff
67,90,w,ffffff
68,90,w,ffffff
69,90,w,ffffff
70,90,w,ffffff
71,90,w,ffffff
72,90,w,ffffff
73,90,w,ffffff
74,90,w,ffffff
75,90,w,ffffff
76,90,w,ffffff
77,90,w,ffffff
78,90,w,ffffff
79,90,w,ffffff
80,90,w,ffffff
81,90,w,ffffff
82,90,w,ffffff
83,90,w,ffffff
84,90,w,ffffff
85,90,w,ffffff
86,90,w,ffffff
87,90,w,ffffff
88,90,w,ffffff
89,90,w,ffffff
90,90,w,ffffff
91,90,w,ffffff
92,90,w,ffffff
93,90,w,ffffff
94,90,w,ffffff
95,90,w,ffffff
96,90,w,ffffff
97,90,w,ffffff
98,90,w,ffffff
99,90,w,ffffff
100,90,w,ffffff
101,90,w,ffffff
102,90,w,ffffff
103,90,w,ffffff
104,90,w,ffffff
105,90,w,ffffff
106,90,w,ffffff
107,90,w,ffffff
108,90,w,ffffff
109,90,w,ffffff
110,90,w,ffffff
111,90,w,ffffff
112,90,w,ffffff
113,90,w,ffffff
